State,Regular,Mid-Grade,Premium,Diesel
Alaska,$4.61,$4.81,$5.01,$4.79
Alabama,$3.40,$3.79,$4.17,$4.32
Arkansas,$3.45,$3.85,$4.21,$4.27
Arizona,$4.65,$4.96,$5.25,$5.02
California,$5.78,$6.01,$6.16,$6.42
Colorado,$3.97,$4.35,$4.66,$4.48
Connecticut,$3.85,$4.35,$4.75,$4.63
District of Columbia,$3.91,$4.50,$4.87,$4.67
Delaware,$3.60,$4.10,$4.41,$4.52
Florida,$3.64,$4.04,$4.36,$4.58
Georgia,$3.33,$3.75,$4.13,$4.26
Hawaii,$4.86,$5.06,$5.31,$5.77
Iowa,$3.77,$4.08,$4.52,$4.33
Idaho,$4.14,$4.37,$4.61,$4.89
Illinois,$3.92,$4.41,$4.84,$4.35
Indiana,$3.75,$4.22,$4.67,$4.52
Kansas,$3.70,$4.01,$4.33,$4.32
Kentucky,$3.48,$3.95,$4.35,$4.30
Louisiana,$3.38,$3.76,$4.12,$4.23
Massachusetts,$3.78,$4.29,$4.64,$4.54
Maryland,$3.66,$4.20,$4.50,$4.54
Maine,$3.83,$4.22,$4.64,$4.50
Michigan,$3.67,$4.14,$4.63,$4.43
Minnesota,$3.89,$4.21,$4.60,$4.41
Missouri,$3.63,$3.94,$4.27,$4.23
Mississippi,$3.29,$3.67,$4.01,$4.13
Montana,$4.20,$4.50,$4.79,$4.71
North Carolina,$3.49,$3.88,$4.26,$4.31
North Dakota,$3.93,$4.26,$4.60,$4.36
Nebraska,$3.81,$4.00,$4.47,$4.29
New Hampshire,$3.72,$4.16,$4.56,$4.44
New Jersey,$3.72,$4.27,$4.54,$4.55
New Mexico,$3.83,$4.19,$4.47,$4.47
Nevada,$5.05,$5.31,$5.55,$5.30
New York,$3.92,$4.39,$4.76,$4.75
Ohio,$3.56,$4.01,$4.47,$4.42
Oklahoma,$3.72,$4.06,$4.32,$4.25
Oregon,$4.68,$4.89,$5.11,$5.24
Pennsylvania,$3.92,$4.32,$4.62,$4.79
Rhode Island,$3.77,$4.38,$4.70,$4.55
South Carolina,$3.39,$3.79,$4.14,$4.31
South Dakota,$3.91,$4.08,$4.56,$4.39
Tennessee,$3.40,$3.80,$4.16,$4.32
Texas,$3.40,$3.79,$4.13,$4.14
Utah,$4.25,$4.48,$4.69,$4.93
Virginia,$3.58,$4.00,$4.35,$4.36
Vermont,$3.82,$4.25,$4.63,$4.53
Washington,$5.04,$5.28,$5.47,$5.72
Wisconsin,$3.61,$4.03,$4.48,$4.20
West Virginia,$3.63,$3.97,$4.30,$4.29
Wyoming,$3.94,$4.21,$4.48,$4.66
