,Gender,IQ,Weight,Height,MRI_Count
1,Female,78,118,64.5,816932
2,Male,106,142,72.5,1001121
3,Male,85,143,73.3,1038437
4,Male,112,172,68.8,965353
5,Female,121,147,65,951545
6,Female,94,146,69,928799
7,Female,103,138,64.5,991305
8,Female,97,175,66,854258
9,Male,91,134,66.3,904858
10,Male,91,172,68.8,955466
11,Female,102,118,64.5,833868
12,Male,87,151,70,1079549
13,Male,96,155,69,924059
14,Female,105,155,70.5,856472
15,Female,96,146,66,878897
16,Female,126,135,68,865363
17,Female,99,127,68.5,852244
18,Male,97,178,73.5,945088
19,Female,85,136,66.3,808020
20,Male,102,180,70,889083
21,Male,129,175,68,892420
22,Male,107,186,76.5,905940
23,Female,93,122,62,790619
24,Male,101,132,68,955003
25,Female,113,114,63,831772
26,Male,103,171,72,935494
27,Female,86,140,68,798612
28,Male,107,187,77,1062462
29,Female,91,106,63,793549
30,Female,96,159,66.5,866662
31,Female,101,127,62.5,857782
32,Male,82,191,67,949589
33,Male,79,192,75.5,997925
34,Male,98,181,69,879987
35,Female,103,143,66.5,834344
36,Female,88,153,66.5,948066
37,Male,105,144,70.5,949395
38,Female,120,139,64.5,893983
39,Male,102,148,74,930016
40,Male,85,179,75.5,935863
